Nvit_RNA16008_R3	gene_0
Lhum_RNA5049_R0	gene_4103
Lhum_RNA5051_R0	gene_4104
Lhum_RNA5054_R0	gene_4105
Lhum_RNA5057_R0	gene_4106
Lhum_RNA5058_R0	gene_4107
Lhum_RNA5061_R0	gene_4108
Lhum_RNA5062_R0	gene_4109
Lhum_RNA5063_R0	gene_4110
Sinv_RNA12811_R3	gene_4111
Cbir_RNA17074_R0	gene_4112
Sinv_RNA19867_R0	gene_4112
Mpha_RNA385_R0	gene_4112
Sinv_RNA21128_R6	gene_4112
Lhum_RNA4999_R0	gene_4113
Lhum_RNA5002_R0	gene_4114
Lhum_RNA5001_R0	gene_4114
Lhum_RNA5000_R0	gene_4114
Lhum_RNA5004_R0	gene_4115
Lhum_RNA5021_R0	gene_4116
Dmel_RNA1608_R0	gene_4116
Cbir_RNA4803_R0	gene_4117
Mpha_RNA5976_R0	gene_4117
Nvit_RNA9603_R0	gene_4117
Dmel_RNA8736_R0	gene_4117
Dqua_RNA21254_R1	gene_4117
Amel_RNA17421_R1	gene_4117
Nvit_RNA10514_R1	gene_4117
Lhum_RNA3598_R5	gene_4118
Lhum_RNA5040_R0	gene_4119
Cbir_RNA4800_R0	gene_4119
Dqua_RNA23132_R0	gene_4119
Lhum_RNA5042_R0	gene_4120
Lhum_RNA3598_R2	gene_4120
Lhum_RNA3597_R2	gene_4120
Mpha_RNA3144_R1	gene_4120
Cbir_RNA19765_R1	gene_4120
Cbir_RNA11156_R4	gene_4120
Lhum_RNA8490_R2	gene_4121
Cbir_RNA11156_R5	gene_4121
Lhum_RNA5052_R0	gene_4122
Sinv_RNA1541_R0	gene_4122
Amel_RNA6852_R0	gene_4122
Dqua_RNA440_R0	gene_4122
Lhum_RNA5045_R0	gene_4123
Dmel_RNA22999_R3	gene_4123
Lhum_RNA5046_R0	gene_4124
Lhum_RNA5048_R0	gene_4124
Mpha_RNA13539_R0	gene_4125
Lhum_RNA5056_R0	gene_4126
Lhum_RNA15980_R2	gene_4127
Sinv_RNA20392_R5	gene_4128
Mpha_RNA1971_R3	gene_4129
Cbir_RNA23431_R7	gene_4130
Cbir_RNA6916_R7	gene_4131
Cbir_RNA16808_R9	gene_4132
Sinv_RNA12794_R1	gene_4133
Lhum_RNA2200_R9	gene_4134
Lhum_RNA2557_R2	gene_4135
Lhum_RNA6491_R4	gene_4136
Sinv_RNA19834_R0	gene_4137
Cbir_RNA11362_R7	gene_4138
Sinv_RNA5113_R9	gene_4139
Aech_RNA109_R3	gene_4140
Dqua_RNA7869_R0	gene_4141
Lhum_RNA5069_R0	gene_4142
Lhum_RNA5071_R0	gene_4142
Lhum_RNA5075_R0	gene_4143
Sinv_RNA2312_R0	gene_4143
Lhum_RNA5077_R0	gene_4144
Lhum_RNA5080_R0	gene_4145
Lhum_RNA5082_R0	gene_4146
Lhum_RNA5083_R0	gene_4147
Dqua_RNA7624_R0	gene_4147
Lhum_RNA5065_R0	gene_4148
Lhum_RNA5068_R0	gene_4149
Dqua_RNA16876_R0	gene_4149
Nvit_RNA15225_R1	gene_4149
Lhum_RNA5076_R0	gene_4150
Lhum_RNA5078_R0	gene_4151
Lhum_RNA5081_R0	gene_4152
Lhum_RNA4051_R8	gene_4153
Amel_RNA28253_R2	gene_4154
Aech_RNA5787_R5	gene_4155
Amel_RNA28407_R4	gene_4156
Cbir_RNA15440_R6	gene_4157
Lhum_RNA5086_R0	gene_4158
Nvit_RNA26347_R0	gene_4159
Sinv_RNA21909_R3	gene_4160
Lhum_RNA5087_R0	gene_4161
Cbir_RNA18914_R3	gene_4162
Lhum_RNA5088_R0	gene_4163
Lhum_RNA17032_R3	gene_4164
Lhum_RNA652_R1	gene_4165
Aech_RNA7566_R3	gene_4166
Lhum_RNA715_R2	gene_4167
Lhum_RNA3464_R6	gene_4168
Sinv_RNA20520_R1	gene_4169
Lhum_RNA5091_R0	gene_4170
Lhum_RNA5092_R0	gene_4171
Dmel_RNA31042_R0	gene_4171
Aech_RNA3582_R0	gene_4172
Lhum_RNA5095_R0	gene_4173
Cbir_RNA156_R8	gene_4174
Sinv_RNA22040_R1	gene_4175
Lhum_RNA5098_R0	gene_4176
Lhum_RNA5099_R0	gene_4177
Lhum_RNA5100_R0	gene_4178
Lhum_RNA5101_R0	gene_4179
Lhum_RNA5102_R0	gene_4180
Mpha_RNA7399_R0	gene_4181
Lhum_RNA5103_R0	gene_4182
Sinv_RNA13177_R6	gene_4183
Lhum_RNA1013_R2	gene_4184
Lhum_RNA15030_R9	gene_4184
Lhum_RNA5104_R0	gene_4185
Sinv_RNA18622_R1	gene_4186
Lhum_RNA1041_R1	gene_4187
Sinv_RNA9360_R5	gene_4188
Cbir_RNA10738_R8	gene_4189
Lhum_RNA17716_R1	gene_4190
Cbir_RNA9450_R6	gene_4191
Nvit_RNA19673_R0	gene_4192
Lhum_RNA5118_R0	gene_4193
Sinv_RNA11476_R0	gene_4194
Dmel_RNA28289_R0	gene_4194
Amel_RNA21316_R0	gene_4195
Lhum_RNA5119_R0	gene_4196
Dqua_RNA15563_R0	gene_4197
Dqua_RNA15562_R0	gene_4198
Lhum_RNA5124_R0	gene_4199
Dmel_RNA23108_R0	gene_4199
Nvit_RNA677_R1	gene_4199
Lhum_RNA5128_R0	gene_4200
Dqua_RNA15550_R0	gene_4200
Dmel_RNA28701_R0	gene_4200
Lhum_RNA5137_R0	gene_4201
Lhum_RNA5142_R0	gene_4202
Lhum_RNA5150_R0	gene_4203
Sinv_RNA21472_R0	gene_4203
Lhum_RNA5152_R0	gene_4204
Lhum_RNA5157_R0	gene_4205
Mpha_RNA1561_R0	gene_4206
Lhum_RNA5167_R0	gene_4207
Lhum_RNA5170_R0	gene_4208
Lhum_RNA5171_R0	gene_4209
Nvit_RNA25750_R0	gene_4209
Lhum_RNA5174_R0	gene_4210
Lhum_RNA5175_R0	gene_4211
Lhum_RNA5177_R0	gene_4212
Dqua_RNA15363_R0	gene_4212
Lhum_RNA5179_R0	gene_4213
Lhum_RNA5181_R0	gene_4214
Lhum_RNA5183_R0	gene_4215
Lhum_RNA5186_R0	gene_4216
Lhum_RNA5192_R0	gene_4217
Sinv_RNA17070_R0	gene_4217
Lhum_RNA5207_R0	gene_4218
Lhum_RNA5215_R0	gene_4219
Lhum_RNA5225_R0	gene_4220
Dqua_RNA1050_R0	gene_4220
Lhum_RNA5228_R0	gene_4221
Lhum_RNA5230_R0	gene_4222
Lhum_RNA5233_R0	gene_4223
Lhum_RNA5238_R0	gene_4224
Lhum_RNA5241_R0	gene_4225
Cbir_RNA2769_R0	gene_4226
Dqua_RNA14365_R0	gene_4226
Lhum_RNA5249_R0	gene_4227
Dmel_RNA11440_R0	gene_4227
Cbir_RNA9726_R3	gene_4228
Lhum_RNA5270_R0	gene_4229
Lhum_RNA5272_R0	gene_4230
Lhum_RNA5281_R0	gene_4231
Aech_RNA15357_R0	gene_4232
Dmel_RNA17066_R0	gene_4233
Aech_RNA15356_R0	gene_4234
Lhum_RNA5286_R0	gene_4235
Aech_RNA15345_R0	gene_4236
Lhum_RNA5300_R0	gene_4237
Sinv_RNA346_R0	gene_4238
Lhum_RNA5305_R0	gene_4239
Lhum_RNA5306_R0	gene_4240
Dmel_RNA28131_R3	gene_4241
Lhum_RNA5307_R0	gene_4242
Lhum_RNA5308_R0	gene_4243
Lhum_RNA5312_R0	gene_4244
Amel_RNA8051_R0	gene_4245
Mpha_RNA9251_R0	gene_4246
Lhum_RNA5315_R0	gene_4247
Sinv_RNA330_R0	gene_4248
Lhum_RNA5316_R0	gene_4249
Cbir_RNA2704_R0	gene_4249
Mpha_RNA8983_R0	gene_4249
Mpha_RNA2280_R0	gene_4249
Lhum_RNA5319_R0	gene_4250
Lhum_RNA5320_R0	gene_4251
Lhum_RNA5321_R0	gene_4252
Lhum_RNA5324_R0	gene_4253
Cbir_RNA2697_R0	gene_4254
Lhum_RNA5327_R0	gene_4255
Lhum_RNA5330_R0	gene_4256
Lhum_RNA5334_R0	gene_4257
Lhum_RNA5333_R0	gene_4257
Mpha_RNA13590_R0	gene_4257
Dmel_RNA11159_R6	gene_4258
Nvit_RNA14484_R0	gene_4259
Lhum_RNA5343_R0	gene_4260
Lhum_RNA5344_R0	gene_4260
Lhum_RNA5347_R0	gene_4261
Lhum_RNA5351_R0	gene_4262
Sinv_RNA11124_R0	gene_4262
Dmel_RNA26311_R0	gene_4262
Lhum_RNA5348_R0	gene_4263
Lhum_RNA5357_R0	gene_4264
Lhum_RNA5361_R0	gene_4265
Lhum_RNA5364_R0	gene_4266
Lhum_RNA5363_R0	gene_4266
Lhum_RNA5372_R0	gene_4267
Lhum_RNA5378_R0	gene_4268
Lhum_RNA5386_R0	gene_4268
Lhum_RNA5388_R0	gene_4268
Dmel_RNA19003_R1	gene_4268
Aech_RNA15255_R0	gene_4269
Lhum_RNA5392_R0	gene_4270
Lhum_RNA5393_R0	gene_4271
Dmel_RNA13807_R0	gene_4271
Aech_RNA13469_R0	gene_4272
Lhum_RNA5400_R0	gene_4273
Aech_RNA7565_R4	gene_4274
Nvit_RNA5913_R2	gene_4275
Lhum_RNA5402_R0	gene_4276
Lhum_RNA5405_R0	gene_4277
Lhum_RNA5407_R0	gene_4277
Lhum_RNA5406_R0	gene_4277
Lhum_RNA5409_R0	gene_4278
Dqua_RNA10418_R0	gene_4278
Mpha_RNA7462_R4	gene_4279
Lhum_RNA5411_R0	gene_4280
Lhum_RNA5414_R0	gene_4281
Sinv_RNA15853_R0	gene_4281
Lhum_RNA5416_R0	gene_4282
Sinv_RNA21307_R0	gene_4282
Lhum_RNA5417_R0	gene_4283
Lhum_RNA5418_R0	gene_4284
Lhum_RNA5423_R0	gene_4285
Cbir_RNA19977_R0	gene_4286
Amel_RNA28233_R0	gene_4286
Lhum_RNA5429_R0	gene_4287
Lhum_RNA5435_R0	gene_4288
Lhum_RNA5436_R0	gene_4289
Amel_RNA27881_R0	gene_4289
Dqua_RNA7143_R1	gene_4289
Dmel_RNA10250_R4	gene_4289
Mpha_RNA5959_R0	gene_4290
Sinv_RNA8018_R0	gene_4291
Lhum_RNA5440_R0	gene_4292
Lhum_RNA5441_R0	gene_4293
Sinv_RNA11489_R0	gene_4293
Lhum_RNA5444_R0	gene_4294
Cbir_RNA19963_R0	gene_4294
Lhum_RNA5445_R0	gene_4295
Lhum_RNA5446_R0	gene_4295
Dqua_RNA2541_R0	gene_4296
Lhum_RNA5453_R0	gene_4297
Lhum_RNA5458_R0	gene_4298
Mpha_RNA19292_R0	gene_4298
Nvit_RNA12075_R0	gene_4298
Cbir_RNA19933_R0	gene_4299
Lhum_RNA5466_R0	gene_4300
Lhum_RNA5471_R0	gene_4301
Lhum_RNA5473_R0	gene_4302
Lhum_RNA5475_R0	gene_4303
Lhum_RNA5478_R0	gene_4304
Lhum_RNA5481_R0	gene_4305
Lhum_RNA5491_R0	gene_4306
Aech_RNA3821_R0	gene_4307
Lhum_RNA5495_R0	gene_4308
Cbir_RNA24888_R0	gene_4308
Lhum_RNA5499_R0	gene_4309
Lhum_RNA5510_R0	gene_4310
Sinv_RNA8768_R0	gene_4310
Cbir_RNA11895_R0	gene_4311
Aech_RNA9014_R0	gene_4312
Dqua_RNA19362_R0	gene_4313
Amel_RNA11729_R0	gene_4314
Lhum_RNA5526_R0	gene_4315
Sinv_RNA8781_R0	gene_4315
Lhum_RNA5527_R0	gene_4316
Cbir_RNA11910_R0	gene_4317
Dqua_RNA2618_R7	gene_4318
Mpha_RNA6075_R0	gene_4319
Aech_RNA9076_R0	gene_4320
Amel_RNA11800_R0	gene_4321
Lhum_RNA5572_R0	gene_4322
Dqua_RNA15031_R0	gene_4322
Dmel_RNA7642_R0	gene_4322
Amel_RNA11791_R0	gene_4323
Lhum_RNA5573_R0	gene_4323
Dmel_RNA23496_R0	gene_4323
Lhum_RNA5579_R0	gene_4324
Lhum_RNA5578_R0	gene_4324
Aech_RNA11231_R0	gene_4324
Nvit_RNA1805_R0	gene_4324
Lhum_RNA5589_R0	gene_4325
Lhum_RNA5592_R0	gene_4326
Dmel_RNA7610_R0	gene_4326
Lhum_RNA5591_R0	gene_4327
Lhum_RNA5593_R0	gene_4328
Cbir_RNA2924_R0	gene_4328
Lhum_RNA5596_R0	gene_4329
Lhum_RNA5598_R0	gene_4330
Lhum_RNA5599_R0	gene_4330
Lhum_RNA5601_R0	gene_4331
Lhum_RNA5604_R0	gene_4332
Lhum_RNA5609_R0	gene_4333
Mpha_RNA11678_R0	gene_4333
Lhum_RNA5611_R0	gene_4334
Lhum_RNA5613_R0	gene_4335
Lhum_RNA5614_R0	gene_4336
Nvit_RNA9731_R0	gene_4337
Lhum_RNA5620_R0	gene_4338
Lhum_RNA5622_R0	gene_4339
Lhum_RNA5624_R0	gene_4340
Lhum_RNA5625_R0	gene_4341
Lhum_RNA5626_R0	gene_4342
Lhum_RNA5623_R0	gene_4343
Lhum_RNA5627_R0	gene_4344
Aech_RNA5814_R1	gene_4344
Sinv_RNA21143_R1	gene_4344
Sinv_RNA21334_R1	gene_4344
Nvit_RNA9951_R4	gene_4344
Sinv_RNA5822_R8	gene_4344
Lhum_RNA5628_R0	gene_4345
Lhum_RNA5643_R0	gene_4346
Lhum_RNA5644_R0	gene_4346
Dmel_RNA4439_R0	gene_4346
Dmel_RNA18878_R0	gene_4346
Lhum_RNA5106_R0	gene_4347
Lhum_RNA5110_R0	gene_4348
Lhum_RNA5120_R0	gene_4349
Aech_RNA17283_R0	gene_4349
Lhum_RNA5121_R0	gene_4350
Lhum_RNA5125_R0	gene_4351
Lhum_RNA5126_R0	gene_4352
Lhum_RNA5129_R0	gene_4353
Sinv_RNA7314_R0	gene_4353
Amel_RNA21297_R0	gene_4353
Lhum_RNA5141_R0	gene_4354
Lhum_RNA5139_R0	gene_4354
Lhum_RNA5140_R0	gene_4354
Aech_RNA17255_R0	gene_4354
Nvit_RNA4726_R0	gene_4354
Dmel_RNA16386_R0	gene_4354
Lhum_RNA5143_R0	gene_4355
Dmel_RNA5730_R0	gene_4355
Lhum_RNA5149_R0	gene_4356
Lhum_RNA5153_R0	gene_4357
Lhum_RNA5168_R0	gene_4358
Lhum_RNA5160_R0	gene_4359
Lhum_RNA5169_R0	gene_4360
Lhum_RNA5165_R0	gene_4361
Lhum_RNA5166_R0	gene_4361
Dmel_RNA4573_R0	gene_4361
Lhum_RNA5155_R0	gene_4362
Lhum_RNA5156_R0	gene_4362
Amel_RNA12478_R0	gene_4363
Lhum_RNA5172_R0	gene_4363
Lhum_RNA5173_R0	gene_4363
Sinv_RNA17903_R0	gene_4363
Lhum_RNA5176_R0	gene_4364
Lhum_RNA5178_R0	gene_4365
Amel_RNA7253_R0	gene_4365
Lhum_RNA5180_R0	gene_4366
Mpha_RNA12387_R0	gene_4366
Lhum_RNA5184_R0	gene_4367
Dqua_RNA15352_R0	gene_4367
Amel_RNA5959_R0	gene_4367
Lhum_RNA5182_R0	gene_4368
Lhum_RNA5202_R0	gene_4369
Lhum_RNA5203_R0	gene_4369
Lhum_RNA5200_R0	gene_4369
Lhum_RNA5199_R0	gene_4369
Sinv_RNA17078_R0	gene_4369
Cbir_RNA5535_R0	gene_4369
Lhum_RNA5209_R0	gene_4370
Dqua_RNA291_R0	gene_4370
Lhum_RNA5216_R0	gene_4371
Dqua_RNA3828_R0	gene_4371
Sinv_RNA17089_R0	gene_4372
Cbir_RNA5550_R0	gene_4372
Dmel_RNA16142_R0	gene_4372
Lhum_RNA5220_R0	gene_4373
Lhum_RNA5223_R0	gene_4374
Sinv_RNA17094_R0	gene_4374
Nvit_RNA6547_R0	gene_4374
Lhum_RNA5222_R0	gene_4375
Lhum_RNA5224_R0	gene_4376
Lhum_RNA5226_R0	gene_4377
Lhum_RNA5227_R0	gene_4378
Lhum_RNA5229_R0	gene_4379
Lhum_RNA5231_R0	gene_4380
Dmel_RNA27394_R0	gene_4380
Sinv_RNA2959_R0	gene_4380
Lhum_RNA5232_R0	gene_4381
Lhum_RNA5234_R0	gene_4382
Aech_RNA16146_R0	gene_4382
Lhum_RNA5237_R0	gene_4383
Amel_RNA29173_R0	gene_4383
Lhum_RNA5240_R0	gene_4384
Lhum_RNA5239_R0	gene_4384
Sinv_RNA19045_R0	gene_4384
Lhum_RNA5242_R0	gene_4385
Sinv_RNA15586_R0	gene_4385
Lhum_RNA5243_R0	gene_4386
Amel_RNA8519_R0	gene_4387
Lhum_RNA5254_R0	gene_4388
Mpha_RNA7909_R0	gene_4388
Amel_RNA8490_R0	gene_4389
Lhum_RNA5273_R0	gene_4390
Dqua_RNA14352_R0	gene_4390
Lhum_RNA5274_R0	gene_4391
Lhum_RNA5277_R0	gene_4391
Cbir_RNA2740_R0	gene_4392
Dmel_RNA23846_R0	gene_4393
Lhum_RNA5285_R0	gene_4394
Cbir_RNA2732_R0	gene_4395
Lhum_RNA5293_R0	gene_4396
Amel_RNA8650_R0	gene_4396
Lhum_RNA5295_R0	gene_4397
Amel_RNA8651_R0	gene_4397
Lhum_RNA5296_R0	gene_4398
Lhum_RNA5297_R0	gene_4399
Nvit_RNA10102_R0	gene_4399
Aech_RNA15331_R0	gene_4400
Lhum_RNA5310_R0	gene_4401
Aech_RNA15327_R0	gene_4401
Aech_RNA15326_R0	gene_4402
Lhum_RNA5318_R0	gene_4403
Sinv_RNA11080_R0	gene_4404
Lhum_RNA5323_R0	gene_4405
Lhum_RNA5332_R0	gene_4406
Lhum_RNA5331_R0	gene_4406
Nvit_RNA14494_R0	gene_4406
Lhum_RNA5338_R0	gene_4407
Aech_RNA15302_R0	gene_4408
Lhum_RNA5342_R0	gene_4409
Lhum_RNA5345_R0	gene_4410
Lhum_RNA5346_R0	gene_4411
Lhum_RNA5349_R0	gene_4412
Lhum_RNA5350_R0	gene_4413
Sinv_RNA11123_R0	gene_4413
Aech_RNA15280_R0	gene_4413
Lhum_RNA5360_R0	gene_4414
Lhum_RNA5365_R0	gene_4415
Sinv_RNA226_R0	gene_4416
Dmel_RNA15112_R8	gene_4417
Lhum_RNA5373_R0	gene_4418
Lhum_RNA5389_R0	gene_4419
Lhum_RNA5395_R0	gene_4420
Lhum_RNA5396_R0	gene_4421
Dmel_RNA10311_R0	gene_4421
Lhum_RNA5397_R0	gene_4422
Lhum_RNA5404_R0	gene_4423
Cbir_RNA10796_R6	gene_4424
Lhum_RNA5410_R0	gene_4425
Mpha_RNA14211_R2	gene_4425
Aech_RNA17872_R0	gene_4426
Lhum_RNA5419_R0	gene_4427
Lhum_RNA5432_R0	gene_4428
Lhum_RNA5431_R0	gene_4428
Lhum_RNA5433_R0	gene_4429
Aech_RNA10972_R0	gene_4430
Aech_RNA10973_R0	gene_4430
Lhum_RNA5448_R0	gene_4431
Lhum_RNA5450_R0	gene_4432
Lhum_RNA5449_R0	gene_4432
Lhum_RNA5452_R0	gene_4433
Dqua_RNA2549_R0	gene_4433
Aech_RNA10977_R0	gene_4433
Cbir_RNA19944_R0	gene_4434
Nvit_RNA7596_R0	gene_4434
Lhum_RNA5456_R0	gene_4435
Amel_RNA16543_R1	gene_4435
Lhum_RNA5459_R0	gene_4436
Lhum_RNA5460_R0	gene_4436
Cbir_RNA19927_R0	gene_4436
Amel_RNA5626_R0	gene_4437
Lhum_RNA5469_R0	gene_4438
Lhum_RNA5472_R0	gene_4439
Cbir_RNA18860_R0	gene_4439
Lhum_RNA5474_R0	gene_4440
Lhum_RNA5477_R0	gene_4441
Lhum_RNA5480_R0	gene_4442
Lhum_RNA5485_R0	gene_4443
Lhum_RNA5490_R0	gene_4444
Nvit_RNA3089_R2	gene_4444
Mpha_RNA10059_R8	gene_4444
Aech_RNA53_R8	gene_4444
Lhum_RNA5497_R0	gene_4445
Lhum_RNA5498_R0	gene_4445
Dqua_RNA1216_R0	gene_4445
Lhum_RNA5500_R0	gene_4446
Lhum_RNA5502_R0	gene_4447
Lhum_RNA5504_R0	gene_4447
Sinv_RNA21003_R0	gene_4447
Sinv_RNA8765_R0	gene_4447
Lhum_RNA5507_R0	gene_4448
Lhum_RNA5513_R0	gene_4449
Dqua_RNA7864_R0	gene_4449
Dmel_RNA30861_R0	gene_4449
Dqua_RNA6427_R9	gene_4450
Lhum_RNA8892_R5	gene_4451
Lhum_RNA5517_R0	gene_4452
Lhum_RNA5518_R0	gene_4453
Lhum_RNA5520_R0	gene_4454
Dmel_RNA34317_R1	gene_4454
Lhum_RNA5521_R0	gene_4455
Dmel_RNA26810_R0	gene_4455
Dmel_RNA948_R0	gene_4455
Lhum_RNA5524_R0	gene_4456
Lhum_RNA5529_R0	gene_4457
Sinv_RNA8786_R0	gene_4457
Dqua_RNA2621_R0	gene_4457
Aech_RNA17753_R0	gene_4458
Sinv_RNA8793_R0	gene_4458
Dmel_RNA23059_R0	gene_4458
Mpha_RNA6075_R2	gene_4459
Aech_RNA17752_R4	gene_4460
Dmel_RNA7092_R0	gene_4460
Mpha_RNA6075_R4	gene_4461
Cbir_RNA11654_R0	gene_4462
Mpha_RNA6075_R1	gene_4463
Lhum_RNA5557_R0	gene_4464
Mpha_RNA6075_R3	gene_4465
Lhum_RNA5574_R0	gene_4466
Lhum_RNA5575_R0	gene_4467
Lhum_RNA5576_R0	gene_4468
Lhum_RNA5585_R0	gene_4469
Cbir_RNA2914_R0	gene_4469
Sinv_RNA14395_R0	gene_4469
Dqua_RNA13007_R6	gene_4469
Dqua_RNA13005_R4	gene_4469
Lhum_RNA5586_R0	gene_4470
Lhum_RNA5595_R0	gene_4471
Aech_RNA20161_R0	gene_4471
Lhum_RNA5597_R0	gene_4472
Cbir_RNA18841_R0	gene_4472
Dqua_RNA1628_R0	gene_4472
Amel_RNA10873_R0	gene_4472
Lhum_RNA5602_R0	gene_4473
Dmel_RNA11258_R0	gene_4473
Lhum_RNA5603_R0	gene_4474
Dmel_RNA118_R0	gene_4474
Lhum_RNA5605_R0	gene_4475
Lhum_RNA5606_R0	gene_4475
Dmel_RNA507_R0	gene_4475
Lhum_RNA5607_R0	gene_4476
Aech_RNA5814_R2	gene_4476
Cbir_RNA13893_R5	gene_4476
Sinv_RNA21143_R2	gene_4476
Sinv_RNA21334_R2	gene_4476
Sinv_RNA18009_R2	gene_4476
Sinv_RNA5822_R7	gene_4476
Lhum_RNA5610_R0	gene_4477
Amel_RNA11401_R0	gene_4478
Lhum_RNA5612_R0	gene_4479
Lhum_RNA5618_R0	gene_4480
Nvit_RNA9730_R0	gene_4480
Dmel_RNA24227_R0	gene_4480
Cbir_RNA13798_R0	gene_4481
Lhum_RNA5619_R0	gene_4482
Lhum_RNA5621_R0	gene_4483
Nvit_RNA18263_R0	gene_4483
Lhum_RNA5641_R0	gene_4484
Lhum_RNA5642_R0	gene_4485
Lhum_RNA5649_R0	gene_4486
Lhum_RNA5648_R0	gene_4486
Dmel_RNA18754_R0	gene_4486
Dmel_RNA18755_R0	gene_4486
Sinv_RNA218_R0	gene_4487
Lhum_RNA5650_R0	gene_4488
Cbir_RNA9720_R2	gene_4489
Aech_RNA2321_R2	gene_4490
Sinv_RNA22048_R0	gene_4491
Lhum_RNA2168_R7	gene_4492
Lhum_RNA3204_R7	gene_4493
Sinv_RNA21543_R5	gene_4494
Aech_RNA13421_R3	gene_4495
Mpha_RNA2832_R8	gene_4496
Lhum_RNA5654_R0	gene_4497
Lhum_RNA5656_R0	gene_4497
Lhum_RNA5658_R0	gene_4497
Amel_RNA13401_R0	gene_4497
Lhum_RNA5673_R0	gene_4498
Lhum_RNA5675_R0	gene_4499
Lhum_RNA5678_R0	gene_4500
Lhum_RNA5684_R0	gene_4501
Amel_RNA13419_R0	gene_4501
Dmel_RNA27540_R0	gene_4501
Lhum_RNA5686_R0	gene_4502
Lhum_RNA5687_R0	gene_4502
Cbir_RNA16881_R0	gene_4502
Cbir_RNA16885_R0	gene_4502
Lhum_RNA5691_R0	gene_4503
Lhum_RNA5692_R0	gene_4504
Lhum_RNA5693_R0	gene_4505
Lhum_RNA5694_R0	gene_4505
Sinv_RNA18931_R1	gene_4505
Nvit_RNA18000_R2	gene_4506
Lhum_RNA5728_R2	gene_4507
Lhum_RNA5699_R0	gene_4508
Aech_RNA17994_R0	gene_4509
Lhum_RNA5706_R0	gene_4510
Lhum_RNA5707_R0	gene_4511
Lhum_RNA5710_R0	gene_4512
Cbir_RNA13688_R0	gene_4512
Lhum_RNA5717_R0	gene_4513
Lhum_RNA8368_R3	gene_4514
Lhum_RNA5721_R0	gene_4515
Lhum_RNA5725_R0	gene_4516
Lhum_RNA21828_R2	gene_4517
Lhum_RNA5660_R0	gene_4518
Lhum_RNA5659_R0	gene_4519
Lhum_RNA5670_R0	gene_4520
Lhum_RNA5666_R0	gene_4521
Lhum_RNA5665_R0	gene_4522
Lhum_RNA5667_R0	gene_4523
Lhum_RNA5664_R0	gene_4524
Lhum_RNA5662_R0	gene_4525
Lhum_RNA1812_R5	gene_4526
Lhum_RNA5671_R0	gene_4527
Sinv_RNA2386_R2	gene_4528
Lhum_RNA5677_R0	gene_4529
Lhum_RNA5679_R0	gene_4530
Lhum_RNA5683_R0	gene_4530
Lhum_RNA5695_R0	gene_4531
Lhum_RNA5697_R0	gene_4531
Lhum_RNA5696_R0	gene_4531
Lhum_RNA5698_R0	gene_4531
Sinv_RNA4512_R0	gene_4531
Lhum_RNA5705_R0	gene_4532
Lhum_RNA5704_R0	gene_4532
Mpha_RNA13506_R0	gene_4532
Amel_RNA10735_R1	gene_4532
Nvit_RNA17742_R1	gene_4532
Lhum_RNA5708_R0	gene_4533
Nvit_RNA12096_R0	gene_4533
Lhum_RNA5712_R0	gene_4534
Aech_RNA17986_R1	gene_4534
Lhum_RNA5719_R0	gene_4535
Amel_RNA1711_R0	gene_4535
Lhum_RNA5726_R0	gene_4536
Lhum_RNA5724_R0	gene_4537
Lhum_RNA5723_R0	gene_4537
Lhum_RNA5722_R0	gene_4537
Lhum_RNA5728_R0	gene_4538
Lhum_RNA20221_R1	gene_4539
Mpha_RNA1473_R7	gene_4540
Mpha_RNA11533_R2	gene_4541
Sinv_RNA18092_R2	gene_4542
Mpha_RNA7097_R0	gene_4543
Lhum_RNA2182_R1	gene_4544
Sinv_RNA9715_R4	gene_4545
Lhum_RNA5730_R0	gene_4546
Mpha_RNA3973_R2	gene_4547
Lhum_RNA5731_R0	gene_4548
Lhum_RNA5732_R0	gene_4549
Sinv_RNA2192_R8	gene_4550
Sinv_RNA3165_R0	gene_4551
Cbir_RNA23466_R0	gene_4552
Aech_RNA20355_R3	gene_4553
Sinv_RNA21287_R0	gene_4554
Lhum_RNA6886_R3	gene_4555
Sinv_RNA18081_R9	gene_4556
Lhum_RNA5736_R0	gene_4557
Dmel_RNA11710_R0	gene_4557
Lhum_RNA5737_R0	gene_4558
Cbir_RNA18533_R3	gene_4559
Nvit_RNA11382_R5	gene_4560
Lhum_RNA749_R8	gene_4561
Lhum_RNA5741_R0	gene_4562
Lhum_RNA3574_R3	gene_4563
Lhum_RNA5743_R0	gene_4564
Dqua_RNA13168_R6	gene_4565
Lhum_RNA5740_R0	gene_4566
Aech_RNA20345_R0	gene_4566
Mpha_RNA7032_R0	gene_4566
Cbir_RNA2917_R0	gene_4566
Lhum_RNA5765_R3	gene_4567
Lhum_RNA5744_R0	gene_4568
Mpha_RNA11859_R1	gene_4568
Cbir_RNA14011_R1	gene_4568
Sinv_RNA18072_R1	gene_4569
Lhum_RNA5743_R1	gene_4570
Lhum_RNA3349_R4	gene_4571
Lhum_RNA5746_R0	gene_4572
Cbir_RNA19242_R5	gene_4573
Aech_RNA21320_R0	gene_4574
Lhum_RNA5747_R0	gene_4575
Lhum_RNA5748_R0	gene_4576
Sinv_RNA18898_R6	gene_4577
Cbir_RNA19851_R1	gene_4578
Sinv_RNA9659_R2	gene_4579
